ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
ECB_00730,,0.0027486585154889,,0.0370557944842795,-0.0238672876539122,,-0.0050937660941901,0.0219832360789096,0.018301833506483,0.0107702360756426,,-0.0012190741471496,0.0031269294917949,0.0035510943458494,,-0.0579424279114297,0.002421272668266,-0.0161670821067505,,-0.0071577276004082,,,0.0098637745611496,
ECB_00731,-0.0249687009377935,0.001172311510745,-0.0083854266254175,0.0118900058564284,-0.0010283043056403,0.0201085527487425,-0.0110775385039228,0.0120520475187342,0.0235511368116814,-0.0020733641329915,,-3.64090560791138e-05,-0.0086602701141972,0.0467998014793865,-0.0029724761083025,,-0.0602758179046866,,-0.0351176941923271,0.0019309174660725,,0.0083936761554401,-0.0212309903087864,-0.0243030906239252
ECB_00732,0.0329006138821687,0.0032316146404157,-0.0120274806889504,-0.0079827565615085,0.0290155323439553,-0.0112474593550275,0.0024446188387829,-0.0086008127767808,-0.0163399844747236,-0.0271199831508442,0.0069854282275675,-0.0018857249319739,0.0190432908960639,-0.0110129365673469,-0.0134881948483501,-0.0226523621795031,,0.0059744111800257,0.0148431777202586,0.011418755125859,0.0003049683106524,-0.0046952770058367,-0.023154312227818,0.0037806210111274
ECB_00733,0.0068571834574251,0.0032869382080636,0.0162160379298917,0.04942742124159,-0.0024144178353357,-0.0102293258204149,-0.0118035825193517,0.0003701180903078,0.0062280932203984,0.0047308722887405,0.0027628537111466,0.0118772052480809,0.0282535288447401,-0.032574864794194,-0.0049785389133528,-0.0031873143167329,0.0133279623992225,0.0013102718637353,-0.0013753495802269,-0.0056329962618306,0.0113009296044186,0.0074009885935532,0.0095495203974894,0.0072772316755108
ECB_00734,-0.0049515572031475,-0.0106977814330961,-0.0064605417895038,0.0052961646608646,0.0001690384655226,-0.0108183616710991,-0.0043418044159283,0.0044787930742745,-0.0032601541725975,0.0079838587271088,-0.0153123510336705,,,0.012331609534138,0.0158802896032703,-0.0214007526653102,,-0.0030549744823062,-0.0276056886195239,,0.0119805829813184,-0.0543062513524751,0.0198138566790599,-0.075214229934468
ECB_00735,0.0102768946739692,0.0072268148374146,-0.0030433169662193,0.0218444661734007,0.0405810092595022,-0.0016791062601263,0.00666794922665,0.0046061318706494,-0.0171198861698799,-0.0254760897784646,-0.0242256758364118,0.0120505250746213,0.007994564882527,0.0145121537517853,-0.000986501502067,-0.0058696114851211,-0.0363559550396181,4.09839020972716e-05,0.0159215704917176,-0.0245482274308733,-0.0027165530516027,-0.0073605635215467,0.005131572328986,-0.0061556379674302
ECB_00736,-0.0108725650406507,-0.0107597921384141,,-0.0230789061326525,-0.0307929410915405,-0.0050655951606491,0.0040830884691457,0.0366370374572366,-0.0135898800636968,-0.0451432704692669,-0.0283565136728969,0.0076249760334279,0.0135698872259469,0.0113536557665985,,-0.016842319293247,,0.0148704196218653,-0.0138535952541908,0.0010193524232923,,-0.009827996039037,,
ECB_00737,-0.0189154312692529,-0.0012185893764954,0.0130926333648639,0.0164508004236333,0.0104897874329751,0.00266204211767,0.0079581348563249,,,0.0009427310578673,,-0.0072551605835401,,,,0.0118491455110902,-0.0330666788632379,0.0804810112332596,,,0.0080634159229615,0.0213539742327131,-0.0141954537558788,
ECB_00738,0.0201858419225142,-0.0170408902439657,-0.0013541665572583,0.0108690728679995,-0.0010928331253014,0.0544338150896947,-0.0098497821336412,0.0131141881284346,0.0314485336426254,0.0016823852033214,0.0139678094850457,-0.0149438191625591,-0.0049082381351426,0.003398471371837,0.0113903238790933,-0.0298942021925326,-0.0159452066840229,-0.0133744272001838,0.0007005526126353,0.0078437653463525,-0.0133254103021287,0.0110202948539051,-0.0124260550627374,-0.0274877340091636
ECB_00739,-0.0052703519209292,-0.0260531004215129,,-0.0233895807390183,-0.027572970513628,0.0141636144058324,0.0215527541602299,-0.0802337893958986,-0.0162009543473528,-0.0213558797060386,-0.0216079089264953,,0.0325135348598266,,-0.0139377158521836,-0.0281605585044414,,-0.0308036954172468,-0.0248018881571591,-0.0186807492565599,-0.0402791462052491,,,-0.0227918937926495
